id,pokemon_id,method,move_id
0,1,Level 0,492
1,1,Level 3,195
2,1,Level 7,264
3,1,Level 9,529
4,1,Level 13,339
5,1,Level 13,437
6,1,Level 15,497
7,1,Level 19,368
8,1,Level 21,486
9,1,Level 25,196
10,1,Level 27,109
11,1,Level 31,552
12,1,Level 33,491
13,1,Level 37,410
14,1,TM06,513
15,1,TM09,527
16,1,TM10,224
17,1,TM11,478
18,1,TM16,267
19,1,TM17,348
20,1,TM20,399
21,1,TM21,178
22,1,TM22,451
23,1,TM27,379
24,1,TM32,108
25,1,TM36,440
26,1,TM42,142
27,1,TM44,377
28,1,TM45,24
29,1,TM48,396
30,1,TM49,127
31,1,TM53,136
32,1,TM70,163
33,1,TM75,489
34,1,TM86,191
35,1,TM87,483
36,1,TM90,476
37,1,TM94,388
38,1,HM01,92
39,1,HM04,470
40,1,Breeding,430
41,1,Breeding,65
42,1,Breeding,331
43,1,Breeding,278
44,1,Breeding,193
45,1,Breeding,91
46,1,Breeding,249
47,1,Breeding,315
48,1,Breeding,13
49,1,Breeding,261
50,1,Breeding,346
51,1,Breeding,439
52,1,Breeding,135
53,1,Breeding,187
54,1,Move Tutor,192
55,1,Move Tutor,36
56,1,Move Tutor,187
57,1,Move Tutor,192
58,1,Move Tutor,257
59,1,Move Tutor,410
60,1,Move Tutor,438
61,1,Move Tutor,448
62,1,Move Tutor,491
63,1,Move Tutor,552
64,1,Gen IV TM09,59
65,1,Gen IV TM43,408
66,1,Gen IV TM78,62
67,1,Gen IV TM83,314
68,1,Move Tutor - PtHGSS,180
69,1,Move Tutor - PtHGSS,311
70,1,Move Tutor - HGSS,471
71,1,Move Tutor - HGSS,210
72,1,Move Tutor - Emerald,96
73,1,Move Tutor - FRLG,43
74,1,Move Tutor - FRLG,297
75,2,Level 0,492
76,2,Level 0,195
77,2,Level 0,264
78,2,Level 3,195
79,2,Level 7,264
80,2,Level 9,529
81,2,Level 13,339
82,2,Level 13,437
83,2,Level 15,497
84,2,Level 20,368
85,2,Level 23,486
86,2,Level 28,196
87,2,Level 31,109
88,2,Level 36,552
89,2,Level 39,491
90,2,Level 44,451
91,2,TM06,513
92,2,TM09,527
93,2,TM10,224
94,2,TM11,478
95,2,TM16,267
96,2,TM17,348
97,2,TM20,399
98,2,TM21,178
99,2,TM22,451
100,2,TM27,379
101,2,TM32,108
102,2,TM36,440
103,2,TM42,142
104,2,TM44,377
105,2,TM45,24
106,2,TM48,396
107,2,TM49,127
108,2,TM53,136
109,2,TM70,163
110,2,TM75,489
111,2,TM86,191
112,2,TM87,483
113,2,TM90,476
114,2,TM94,388
115,2,HM01,92
116,2,HM04,470
117,2,Breeding,430
118,2,Breeding,65
119,2,Breeding,331
120,2,Breeding,278
121,2,Breeding,193
122,2,Breeding,91
123,2,Breeding,249
124,2,Breeding,315
125,2,Breeding,13
126,2,Breeding,261
127,2,Breeding,346
128,2,Breeding,439
129,2,Breeding,135
130,2,Breeding,187
131,2,Move Tutor,192
132,2,Move Tutor,36
133,2,Move Tutor,187
134,2,Move Tutor,192
135,2,Move Tutor,257
136,2,Move Tutor,410
137,2,Move Tutor,438
138,2,Move Tutor,448
139,2,Move Tutor,491
140,2,Move Tutor,552
141,2,Pre-evolution,410
142,2,Gen IV TM09,59
143,2,Gen IV TM43,408
144,2,Gen IV TM78,62
145,2,Gen IV TM83,314
146,2,Move Tutor - PtHGSS,180
147,2,Move Tutor - PtHGSS,311
148,2,Move Tutor - HGSS,471
149,2,Move Tutor - HGSS,210
150,2,Move Tutor - Emerald,96
151,2,Move Tutor - FRLG,43
152,2,Move Tutor - FRLG,297
153,3,Level 0,492
154,3,Level 0,195
155,3,Level 0,264
156,3,Level 0,529
157,3,Level 3,195
158,3,Level 7,264
159,3,Level 9,529
160,3,Level 13,339
161,3,Level 13,437
162,3,Level 15,497
163,3,Level 20,368
164,3,Level 23,486
165,3,Level 28,196
166,3,Level 31,109
167,3,Level 32,331
168,3,Level 39,552
169,3,Level 45,491
170,3,Level 53,451
171,3,TM05,382
172,3,TM06,513
173,3,TM09,527
174,3,TM10,224
175,3,TM11,478
176,3,TM15,233
177,3,TM16,267
178,3,TM17,348
179,3,TM20,399
180,3,TM21,178
181,3,TM22,451
182,3,TM26,126
183,3,TM27,379
184,3,TM32,108
185,3,TM36,440
186,3,TM42,142
187,3,TM44,377
188,3,TM45,24
189,3,TM48,396
190,3,TM49,127
191,3,TM53,136
192,3,TM68,188
193,3,TM70,163
194,3,TM75,489
195,3,TM78,57
196,3,TM86,191
197,3,TM87,483
198,3,TM90,476
199,3,TM94,388
200,3,HM01,92
201,3,HM04,470
202,3,Breeding,430
203,3,Breeding,65
204,3,Breeding,331
205,3,Breeding,278
206,3,Breeding,193
207,3,Breeding,91
208,3,Breeding,249
209,3,Breeding,315
210,3,Breeding,13
211,3,Breeding,261
212,3,Breeding,346
213,3,Breeding,439
214,3,Breeding,135
215,3,Breeding,187
216,3,Move Tutor,176
217,3,Move Tutor,192
218,3,Move Tutor,36
219,3,Move Tutor,41
220,3,Move Tutor,176
221,3,Move Tutor,187
222,3,Move Tutor,192
223,3,Move Tutor,257
224,3,Move Tutor,324
225,3,Move Tutor,410
226,3,Move Tutor,438
227,3,Move Tutor,448
228,3,Move Tutor,491
229,3,Move Tutor,552
230,3,Pre-evolution,410
231,3,Gen IV TM09,59
232,3,Gen IV TM43,408
233,3,Gen IV TM78,62
234,3,Gen IV TM83,314
235,3,Move Tutor - PtHGSS,180
236,3,Move Tutor - PtHGSS,311
237,3,Move Tutor - HGSS,471
238,3,Move Tutor - HGSS,210
239,3,Move Tutor - Emerald,96
240,3,Move Tutor - FRLG,43
241,3,Move Tutor - FRLG,297
242,4,Level 0,405
243,4,Level 0,195
244,4,Level 7,132
245,4,Level 10,445
246,4,Level 16,115
247,4,Level 19,404
248,4,Level 25,152
249,4,Level 28,158
250,4,Level 34,436
251,4,Level 37,161
252,4,Level 43,155
253,4,Level 46,248
254,4,TM01,225
255,4,TM02,112
256,4,TM06,513
257,4,TM10,224
258,4,TM11,478
259,4,TM17,348
260,4,TM21,178
261,4,TM27,379
262,4,TM28,100
263,4,TM31,50
264,4,TM32,108
265,4,TM35,161
266,4,TM38,151
267,4,TM39,390
268,4,TM40,6
269,4,TM42,142
270,4,TM43,159
271,4,TM44,377
272,4,TM45,24
273,4,TM48,396
274,4,TM49,127
275,4,TM50,325
276,4,TM56,166
277,4,TM59,247
278,4,TM61,545
279,4,TM65,415
280,4,TM75,489
281,4,TM80,387
282,4,TM87,483
283,4,TM90,476
284,4,TM94,388
285,4,HM01,92
286,4,HM04,470
287,4,Breeding,33
288,4,Breeding,14
289,4,Breeding,37
290,4,Breeding,324
291,4,Breeding,32
292,4,Breeding,113
293,4,Breeding,88
294,4,Breeding,116
295,4,Breeding,292
296,4,Breeding,162
297,4,Breeding,83
298,4,Breeding,114
299,4,Breeding,170
300,4,Move Tutor,153
301,4,Move Tutor,153
302,4,Move Tutor,154
303,4,Move Tutor,219
304,4,Move Tutor,252
305,4,Move Tutor,324
306,4,Move Tutor,438
307,4,Move Tutor,448
308,4,Move Tutor,509
309,4,Gen IV TM43,408
310,4,Gen IV TM58,135
311,4,Gen IV TM78,62
312,4,Gen IV TM83,314
313,4,Move Tutor - PtHGSS,180
314,4,Move Tutor - PtHGSS,487
315,4,Move Tutor - PtHGSS,311
316,4,Move Tutor - HGSS,210
317,4,Move Tutor - Emerald,124
318,4,Move Tutor - Emerald,96
319,4,Move Tutor - FRLG,288
320,4,Move Tutor - FRLG,287
321,4,Move Tutor - FRLG,43
322,4,Move Tutor - FRLG,109
323,4,Move Tutor - FRLG,412
324,4,Move Tutor - FRLG,297
325,5,Level 0,405
326,5,Level 0,195
327,5,Level 0,132
328,5,Level 7,132
329,5,Level 10,445
330,5,Level 17,115
331,5,Level 21,404
332,5,Level 28,152
333,5,Level 32,158
334,5,Level 39,436
335,5,Level 43,161
336,5,Level 50,155
337,5,Level 54,248
338,5,TM01,225
339,5,TM02,112
340,5,TM06,513
341,5,TM10,224
342,5,TM11,478
343,5,TM17,348
344,5,TM21,178
345,5,TM27,379
346,5,TM28,100
347,5,TM31,50
348,5,TM32,108
349,5,TM35,161
350,5,TM38,151
351,5,TM39,390
352,5,TM40,6
353,5,TM42,142
354,5,TM43,159
355,5,TM44,377
356,5,TM45,24
357,5,TM48,396
358,5,TM49,127
359,5,TM50,325
360,5,TM56,166
361,5,TM59,247
362,5,TM61,545
363,5,TM65,415
364,5,TM75,489
365,5,TM80,387
366,5,TM87,483
367,5,TM90,476
368,5,TM94,388
369,5,HM01,92
370,5,HM04,470
371,5,Breeding,33
372,5,Breeding,14
373,5,Breeding,37
