Species,Type,Ability,HP,Atk,Def,SpA,SpD,Spe,Total
001,Bulbasaur,Grass/Poison,Overgrow/Chlorophyll,45,49,49,65,65,45,318
002,Ivysaur,Grass/Poison,Overgrow/Chlorophyll,60,62,63,80,80,60,405
003,Venusaur,Grass/Poison,Overgrow/Chlorophyll,80,82,83,100,100,80,525
004,Charmander,Fire,Blaze/Solar Power,39,52,43,60,50,65,309
005,Charmeleon,Fire,Blaze/Solar Power,58,64,58,80,65,80,405
006,Charizard,Fire/Flying,Blaze/Solar Power,78,84,78,109,85,100,534
007,Squirtle,Water,Torrent/Rain Dish,44,48,65,50,64,43,314
008,Wartortle,Water,Torrent/Rain Dish,59,63,80,65,80,58,405
009,Blastoise,Water,Torrent/Rain Dish,79,83,100,85,105,78,530
010,Caterpie,Bug,Shield Dust/Run Away,45,30,35,20,20,45,195
011,Metapod,Bug,Shed Skin,50,20,55,25,25,30,205
012,Butterfree,Bug/Flying,Compoundeyes/Tinted Lens,60,45,50,80,80,70,385
013,Weedle,Bug/Poison,Shield Dust/Run Away,40,35,30,20,20,50,195
014,Kakuna,Bug/Poison,Shed Skin,45,25,50,25,25,35,205
015,Beedrill,Bug/Poison,Swarm/Sniper,65,80,40,45,80,75,385
016,Pidgey,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,40,45,40,35,35,56,251
017,Pidgeotto,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,63,60,55,50,50,71,349
018,Pidgeot,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,83,80,75,70,70,91,469
019,Rattata,Normal,Run Away/Guts/Hustle,30,56,35,25,35,72,253
020,Raticate,Normal,Run Away/Guts/Hustle,55,81,60,50,70,97,413
021,Spearow,Normal/Flying,Keen Eye/Sniper,40,60,30,31,31,70,262
022,Fearow,Normal/Flying,Keen Eye/Sniper,65,90,65,61,61,100,442
023,Ekans,Poison,Intimidate/Shed Skin/Unnerve,35,60,44,40,54,55,288
024,Arbok,Poison,Intimidate/Shed Skin/Unnerve,60,85,69,65,79,80,438
025,Pikachu,Electric,Static/Lightningrod,35,55,30,50,40,90,300
026,Raichu,Electric,Static/Lightningrod,60,90,55,90,80,100,475
027,Sandshrew,Ground,Sand Veil/Sand Rush,50,75,85,20,30,40,300
028,Sandslash,Ground,Sand Veil/Sand Rush,75,100,110,45,55,65,450
029,Nidoran-F,Poison,Poison Point/Rivalry/Hustle,55,47,52,40,40,41,275
030,Nidorina,Poison,Poison Point/Rivalry/Hustle,70,62,67,55,55,56,365
031,Nidoqueen,Poison/Ground,Poison Point/Rivalry/Sheer Force,90,82,87,75,85,76,495
032,Nidoran-M,Poison,Poison Point/Rivalry/Hustle,46,57,40,40,40,50,273
033,Nidorino,Poison,Poison Point/Rivalry/Hustle,61,72,57,55,55,65,365
034,Nidoking,Poison/Ground,Poison Point/Rivalry/Sheer Force,81,92,77,85,75,85,495
035,Clefairy,Normal,Cute Charm/Magic Guard/Friend Guard,70,45,48,60,65,35,323
036,Clefable,Normal,Cute Charm/Magic Guard/Unaware,95,70,73,85,90,60,473
037,Vulpix,Fire,Flash Fire/Drought,38,41,40,50,65,65,299
038,Ninetales,Fire,Flash Fire/Drought,73,76,75,81,100,100,505
039,Jigglypuff,Normal,Cute Charm/Friend Guard,115,45,20,45,25,20,270
040,Wigglytuff,Normal,Cute Charm/Frisk,140,70,45,75,50,45,425
041,Zubat,Poison/Flying,Inner Focus/Infiltrator,40,45,35,30,40,55,245
042,Golbat,Poison/Flying,Inner Focus/Infiltrator,75,80,70,65,75,90,455
043,Oddish,Grass/Poison,Chlorophyll/Run Away,45,50,55,75,65,30,320
044,Gloom,Grass/Poison,Chlorophyll/Stench,60,65,70,85,75,40,395
045,Vileplume,Grass/Poison,Chlorophyll/Effect Spore,75,80,85,100,90,50,480
