id,url,move_name,move_type,move_category,move_pp,move_power,move_accuracy,move_description,move_secondary_effect
0,https://www.serebii.net/attackdex-bw/absorb.shtml,Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,User recovers half the damage inflicted.
1,https://www.serebii.net/attackdex-bw/acid.shtml,Acid,poison,special,30,40,100,The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets' Sp. Def stats.,May lower opponent's SP. DEF one stage.
2,https://www.serebii.net/attackdex-bw/acidarmor.shtml,Acid Armor,poison,other,40,0,0,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.",Raises user's DEFENSE two stages.
3,https://www.serebii.net/attackdex-bw/acidspray.shtml,Acid Spray,poison,special,20,40,100,The user spits fluid that works to melt the target. This harshly reduces the target's Sp. Def stat.,Lowers opponent's SP. DEF two stages.
4,https://www.serebii.net/attackdex-bw/acrobatics.shtml,Acrobatics,flying,physical,15,55,100,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.",Increases damage by 100% if user is not holding an item.
5,https://www.serebii.net/attackdex-bw/acupressure.shtml,Acupressure,normal,other,30,0,0,"The user applies pressure to stress points, sharply boosting one of its stats.",Raises one of the user's stats randomly by two stages.
6,https://www.serebii.net/attackdex-bw/aerialace.shtml,Aerial Ace,flying,physical,20,60,0,"The user confounds the target with speed, then slashes. The attack lands without fail.",Cannot miss.
7,https://www.serebii.net/attackdex-bw/aeroblast.shtml,Aeroblast,flying,special,5,100,95,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.,Has high critical hit ratio.
8,https://www.serebii.net/attackdex-bw/afteryou.shtml,After You,normal,other,15,0,0,The user helps the target and makes it use its move right after the user.,No effect.
9,https://www.serebii.net/attackdex-bw/agility.shtml,Agility,psychic,other,30,0,0,The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.,Raises user's SPEED two stages.
10,https://www.serebii.net/attackdex-bw/aircutter.shtml,Air Cutter,flying,special,25,55,95,The user launches razor-like wind to slash the opposing team. Critical hits land more easily.,Has high critical hit ratio.
11,https://www.serebii.net/attackdex-bw/airslash.shtml,Air Slash,flying,special,20,75,95,The user attacks with a blade of air that slices even the sky. It may also make the target flinch.,May cause opponent to flinch.
12,https://www.serebii.net/attackdex-bw/allyswitch.shtml,Ally Switch,psychic,other,15,0,0,The user teleports using a strange power and switches its place with one of its allies.,Switches place with other Pokémon on field
13,https://www.serebii.net/attackdex-bw/amnesia.shtml,Amnesia,psychic,other,20,0,0,The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.,Raises user's SP. DEF two stages.
14,https://www.serebii.net/attackdex-bw/ancientpower.shtml,Ancientpower,rock,special,5,60,100,The user attacks with a prehistoric power. It may also raise all the user's stats at once.,May raise all user's stats one stage.
15,https://www.serebii.net/attackdex-bw/aquajet.shtml,Aqua Jet,water,physical,20,40,100,The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.,Always strikes first.
16,https://www.serebii.net/attackdex-bw/aquaring.shtml,Aqua Ring,water,other,20,0,0,The user envelops itself in a veil made of water. It regains some HP on every turn.,Recovers 1/16th of user's HP each turn
17,https://www.serebii.net/attackdex-bw/aquatail.shtml,Aqua Tail,water,physical,10,90,90,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,No effect.
18,https://www.serebii.net/attackdex-bw/armthrust.shtml,Arm Thrust,fighting,physical,20,15,100,The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.,Attacks 2-5 times in a row.
19,https://www.serebii.net/attackdex-bw/aromatherapy.shtml,Aromatherapy,grass,other,5,0,0,The user releases a soothing scent that heals all status problems affecting the user's party.,Heals party's status problems.
20,https://www.serebii.net/attackdex-bw/assist.shtml,Assist,normal,other,20,0,0,The user hurriedly and randomly uses a move among those known by other Pokémon in the party.,"This move selects and uses a random move known by a Pokémon within your party. However, it cannot use the moves; Assist, Chatter, Circle Throw, Copycat, Counter, Covet, Destiny Bond, Detect, Dragon Tail, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Protect, Quick Guard, Sketch, Sleep Talk, Snatch, Struggle, Switcheroo, Thief, Trick, or Wide Guard"
21,https://www.serebii.net/attackdex-bw/assurance.shtml,Assurance,dark,physical,10,50,100,"If the target has already taken some damage in the same turn, this attack's power is doubled.",
22,https://www.serebii.net/attackdex-bw/astonish.shtml,Astonish,ghost,physical,15,30,100,The user attacks the target while shouting in a startling fashion. It may also make the target flinch.,May cause opponent to flinch.
23,https://www.serebii.net/attackdex-bw/attackorder.shtml,Attack Order,bug,physical,15,90,100,The user calls out its underlings to pummel the target. Critical hits land more easily.,Has high critical hit ratio.
24,https://www.serebii.net/attackdex-bw/attract.shtml,Attract,normal,other,15,0,100,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.",Induces ATTRACT.
25,https://www.serebii.net/attackdex-bw/aurasphere.shtml,Aura Sphere,fighting,special,20,90,0,The user looses a blast of aura power from deep within its body at the target. This move is certain to hit.,Cannot miss.
26,https://www.serebii.net/attackdex-bw/aurorabeam.shtml,Aurora Beam,ice,special,20,65,100,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,May lower opponent's ATTACK one stage.
27,https://www.serebii.net/attackdex-bw/autotomize.shtml,Autotomize,steel,other,15,0,0,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,Raises user's SPEED two stages. Halves weight.
28,https://www.serebii.net/attackdex-bw/avalanche.shtml,Avalanche,ice,physical,10,60,100,An attack move that inflicts double the damage if the user has been hurt by the target in the same turn.,Power doubles if hit before the attack.
29,https://www.serebii.net/attackdex-bw/barrage.shtml,Barrage,normal,physical,20,15,85,Round objects are hurled at the target to strike two to five times in a row.,Attacks 2-5 times in a row.
30,https://www.serebii.net/attackdex-bw/barrier.shtml,Barrier,psychic,other,30,0,0,The user throws up a sturdy wall that sharply raises its Defense stat.,Raises user's DEFENSE two stages.
